source,relative_path,classification,available,size_bytes,modified,priority,potential_use
sddp_previous,outputs/dispatch_hidrotermico/recursos_termicos_priorizados.csv,output de modelo,True,4836,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/resultados_despacho.csv,output de modelo,True,6423,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,outputs/dispatch_hidrotermico/resumen_riesgo.json,documentacion,True,2291,2026-07-13T20:24:19,False,referencia/no prioritario
sddp_previous,scripts/01_descarga_embalses.py,codigo,True,555,2026-07-05T10:22:01,False,referencia/no prioritario
sddp_previous,scripts/01_ingesta_robusta.py,codigo,True,3661,2026-07-09T11:01:22,False,referencia/no prioritario
sddp_previous,scripts/02_slide_resultados.js,no relevante,True,8047,2026-06-03T12:20:38,False,referencia/no prioritario
sddp_previous,scripts/03_dashboard.html,no relevante,True,14583,2026-06-03T13:24:21,False,referencia/no prioritario
sddp_previous,scripts/run_dispatch_hidrotermico.py,codigo,True,8924,2026-07-13T20:22:32,False,referencia/no prioritario
sddp_previous,sddp_v2/BACKLOG_SDDP_GRANULAR.md,documentacion,True,1963,2026-07-05T18:17:49,False,referencia/no prioritario
sddp_previous,sddp_v2/catalogo_local_xm.csv,fuente procesada,True,33480,2026-07-05T11:23:22,False,referencia/no prioritario
sddp_previous,sddp_v2/descubrir_metricas.py,codigo,True,948,2026-07-05T11:23:15,False,referencia/no prioritario
sddp_previous,sddp_v2/filtrar.py,codigo,True,248,2026-07-05T11:29:35,False,referencia/no prioritario
sddp_previous,sddp_v2/ingesta_v2.py,codigo,True,3622,2026-07-05T11:14:02,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar.py,codigo,True,17694,2026-07-05T13:09:07,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar10.py,codigo,True,52319,2026-07-05T15:09:58,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar11.py,codigo,True,34343,2026-07-05T16:05:01,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar12.py,codigo,True,36932,2026-07-05T16:21:13,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar13.py,codigo,True,36974,2026-07-05T16:36:52,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar14.py,codigo,True,44843,2026-07-05T17:00:26,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar15.py,codigo,True,44843,2026-07-05T17:13:55,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar16.py,codigo,True,44843,2026-07-05T17:47:36,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar6.py,codigo,True,35155,2026-07-05T13:47:56,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar7.py,codigo,True,37415,2026-07-05T14:09:10,False,referencia/no prioritario
sddp_previous,sddp_v2/integrar_embalses_cvar8.py,codigo,True,38178,2026-07-05T14:39:51,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad.csv,fuente procesada,True,3462,2026-07-05T15:10:19,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v11.csv,fuente procesada,True,3462,2026-07-05T16:05:18,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v12.csv,fuente procesada,True,3462,2026-07-05T16:21:28,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v13.csv,fuente procesada,True,3462,2026-07-05T16:37:15,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v14.csv,fuente procesada,True,3462,2026-07-05T17:00:40,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v15.csv,fuente procesada,True,3462,2026-07-05T17:14:33,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_escenarios_con_probabilidad_v16.csv,fuente procesada,True,3462,2026-07-05T17:47:48,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada.csv,fuente procesada,True,768,2026-07-05T15:10:19,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v11.csv,fuente procesada,True,768,2026-07-05T16:05:18,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v12.csv,fuente procesada,True,768,2026-07-05T16:21:28,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v13.csv,fuente procesada,True,768,2026-07-05T16:37:15,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v14.csv,fuente procesada,True,768,2026-07-05T17:00:40,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v15.csv,fuente procesada,True,768,2026-07-05T17:14:33,False,referencia/no prioritario
sddp_previous,sddp_v2/data/cache_proyeccion_ponderada_v16.csv,fuente procesada,True,768,2026-07-05T17:47:48,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index10.html,output de modelo,True,35869,2026-07-05T16:37:05,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index11.html,output de modelo,True,29297,2026-07-05T17:00:33,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index12.html,output de modelo,True,29953,2026-07-05T17:14:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index13.html,output de modelo,True,32214,2026-07-05T17:53:25,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index14.html,output de modelo,True,32425,2026-07-05T17:55:09,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index2.html,output de modelo,True,23333,2026-07-05T13:09:55,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index3.html,output de modelo,True,31360,2026-07-05T13:52:31,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index4.html,output de modelo,True,29634,2026-07-05T14:09:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index5.html,output de modelo,True,33778,2026-07-05T14:38:40,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index6.html,output de modelo,True,30819,2026-07-05T15:10:06,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index7.html,output de modelo,True,27780,2026-07-05T16:05:09,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index8.html,output de modelo,True,33935,2026-07-05T16:21:21,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/index9.html,output de modelo,True,35167,2026-07-05T16:28:46,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v10.json,documentacion,True,620820,2026-07-05T17:00:41,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v11.json,documentacion,True,620820,2026-07-05T17:14:34,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v12.json,documentacion,True,620820,2026-07-05T17:47:50,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v3.json,documentacion,True,190498,2026-07-05T13:48:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v4.json,documentacion,True,203062,2026-07-05T14:09:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v5.json,documentacion,True,203710,2026-07-05T14:40:04,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v6.json,documentacion,True,726230,2026-07-05T15:10:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v7.json,documentacion,True,273568,2026-07-05T16:05:19,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v8.json,documentacion,True,407080,2026-07-05T16:21:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_dashboard_v9.json,documentacion,True,407108,2026-07-05T16:37:16,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes.json,documentacion,True,2994,2026-07-05T13:09:16,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar.csv,output de modelo,True,699,2026-07-05T13:09:16,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v10.csv,output de modelo,True,10019,2026-07-05T17:00:41,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v10_largo.csv,output de modelo,True,31340,2026-07-05T17:00:41,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v11.csv,output de modelo,True,10019,2026-07-05T17:14:34,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v11_largo.csv,output de modelo,True,31340,2026-07-05T17:14:34,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v12.csv,output de modelo,True,10019,2026-07-05T17:47:49,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v12_largo.csv,output de modelo,True,31340,2026-07-05T17:47:49,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v3.csv,output de modelo,True,11971,2026-07-05T13:48:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v3_largo.csv,output de modelo,True,41426,2026-07-05T13:48:20,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v4.csv,output de modelo,True,12407,2026-07-05T14:09:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v4_largo.csv,output de modelo,True,40246,2026-07-05T14:09:29,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v5.csv,output de modelo,True,12407,2026-07-05T14:40:04,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v5_largo.csv,output de modelo,True,40246,2026-07-05T14:40:04,False,referencia/no prioritario
sddp_previous,sddp_v2/outputs/resultados_horizontes_cvar_v6.csv,output de modelo,True,12407,2026-07-05T15:10:20,False,referencia/no prioritario
