target,severity,issue,Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour15,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour16,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour17,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour18,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour19,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour20,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour21,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour22,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour23,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-02,Hour24,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour01,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour02,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour03,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour04,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour05,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour06,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour07,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour08,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour09,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour10,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour11,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour12,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour13,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
disponibilidades,WARNING,inconsistencia fisica o capacidad faltante,2026-06-03,Hour14,5QT6,nan,nan,0.0,nan,False,False,False,nan,nan,nan,True,True
