Date,Hour,code,DispoReal_MW,DispoCome_MW,DispoDeclarada_MW,CapEfecNeta_MW,declared_gt_capacity,real_gt_capacity,commercial_gt_capacity,abs_declared_real_diff_mw,abs_declared_commercial_diff_mw,abs_real_commercial_diff_mw,has_any_availability,resource_without_capacity
2026-06-03,Hour01,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour02,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour03,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour04,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour05,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour06,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour07,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour08,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour09,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour10,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour11,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour12,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour13,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour14,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour15,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
2026-06-03,Hour16,2QEK,35.0,35.0,35.0,35.0,False,False,False,0.0,0.0,0.0,True,False
