Date,DemaSIN_GWh,DemaReal_GWh,Gene_GWh,ImpoEner_GWh,ExpoEner_GWh,diff_dema_real_vs_dema_sin_gwh,diff_dema_real_vs_dema_sin_rel,gene_plus_impo_minus_expo_gwh,diff_balance_vs_dema_sin_gwh,diff_balance_vs_dema_sin_rel,atypical_daily_closure
2023-01-01,168.12069693,173.8333418,176.93265376,0.0,8.81626683,5.712644869999991,0.03397942653294229,168.11638693,-0.004310000000003811,-2.5636343880958065e-05,False
2023-01-02,192.25538055,196.82221884,200.37085832999998,0.0,8.12183778,4.566838289999993,0.02375402070379139,192.24902054999998,-0.006360000000029231,-3.308099873113918e-05,False
2023-01-03,201.59109962999997,207.72812412,211.13445097,0.0,9.54335134,6.137024490000016,0.030442933746896078,201.59109963,2.842170943040401e-14,1.4098692592366019e-16,False
2023-01-04,205.93924784,212.62907445,216.47177391,0.0,10.55462607,6.689826609999983,0.03248446656072813,205.91714783999998,-0.0221000000000231,-0.00010731320149908099,False
2023-01-05,207.00046921,213.18084771,217.23425989999998,0.0,10.23379069,6.180378499999989,0.029856833289252375,207.00046920999998,-2.842170943040401e-14,-1.3730263288229775e-16,False
2023-01-06,209.74577078,216.84223826,220.45881741999997,0.0,10.71304664,7.096467480000001,0.033833661835515186,209.74577078,0.0,0.0,False
2023-01-07,201.55770375999998,208.29228738999998,212.13319235,0.0,10.61690859,6.734583630000003,0.033412682841530324,201.51628376,-0.04141999999998802,-0.0002054994635645775,False
2023-01-08,182.95254346,190.00161193,193.5478053,0.0,10.60777184,7.049068470000009,0.03852949151013683,182.94003346,-0.012509999999991805,-6.837838798741238e-05,False
2023-01-09,187.38115875999998,194.43475873,198.05226449999998,0.0,10.73398574,7.053599970000022,0.037643058761496706,187.31827875999997,-0.06288000000000693,-0.0003355726926662055,False
2023-01-10,205.90205424,212.02496768999998,216.20118641,0.0,10.31011217,6.12291344999997,0.02973701973299929,205.89107424,-0.010980000000017753,-5.332632566754013e-05,False
2023-01-11,211.26784009999997,214.93206963,218.7469659,0.0,7.4940958,3.6642295300000285,0.017344000526846058,211.2528701,-0.014969999999976835,-7.085792136129684e-05,False
2023-01-12,211.88667159999997,214.645831,218.62215852999998,0.0,7.175476929999999,2.7591594000000157,0.013021863900947775,211.44668159999998,-0.43998999999999455,-0.0020765345770809426,False
2023-01-13,216.35208237999998,221.52245136999997,225.60645393,0.0,9.25437155,5.170368989999986,0.023897939567407395,216.35208237999998,0.0,0.0,False
2023-01-14,207.31490551,211.91925342,216.11907818999998,0.0,8.88752268,4.604347910000001,0.022209439782794136,207.23155551,-0.08334999999999582,-0.00040204538016672115,False
2023-01-15,188.37436184,191.50363364999998,195.50185675,0.0,7.65566491,3.1292718099999774,0.016611983602407076,187.84619184,-0.5281700000000171,-0.002803831661808788,False
2023-01-16,211.02494787999998,217.01931012999998,220.84423141,0.0,9.84289353,5.994362249999995,0.028405941146867186,211.00133788,-0.023609999999990805,-0.00011188250601259102,False
2023-01-17,215.1520301,220.33214386999998,225.08216349,0.0,9.93013339,5.180113769999991,0.02407652750286548,215.1520301,0.0,0.0,False
2023-01-18,214.63226141999996,220.94564069,225.07319145999998,0.0,10.44093004,6.313379270000041,0.029414866284457577,214.63226141999996,0.0,0.0,False
2023-01-19,216.04428740999998,222.24630961999998,226.65781532,0.0,10.62422791,6.2020222099999955,0.028707179830356044,216.03358741,-0.010699999999985721,-4.952688232704668e-05,False
2023-01-20,215.87220795,222.13093457,226.17850163999998,0.0,10.387413689999999,6.2587266200000045,0.028992739173954445,215.79108795,-0.08111999999999853,-0.00037577787696870836,False
2023-01-21,206.16899056,210.21396943,213.99969377,0.0,7.830703209999999,4.044978869999994,0.01961972486266217,206.16899056,0.0,0.0,False
2023-01-22,189.26279071,195.26820808,199.33713975,0.0,10.41732904,6.0054173700000035,0.03173057602855424,188.91981071,-0.34297999999998297,-0.001812189277740905,False
2023-01-23,215.09438072999998,221.54846071999998,225.7182059,0.0,10.62942517,6.454079989999997,0.030005804745320448,215.08878073,-0.005599999999986949,-2.603508274359069e-05,False
2023-01-24,219.43774594999996,225.75956746,229.69240685999998,0.0,10.53105091,6.321821510000035,0.028809179945917304,219.16135594999997,-0.27638999999999214,-0.0012595371812785985,False
2023-01-25,220.97275338999998,225.41615459,229.50172507,0.0,8.57598168,4.443401200000011,0.020108366899686262,220.92574338999998,-0.04701000000000022,-0.00021274116052231637,False
2023-01-26,221.00560878999997,226.88927616,231.01080503,0.0,10.00519624,5.88366737000004,0.026622253626109166,221.00560879,2.842170943040401e-14,1.2860175624506608e-16,False
2023-01-27,219.67169284999997,226.66657719999998,230.2694281,0.0,10.59773525,6.994884350000007,0.031842447514511464,219.67169285,2.842170943040401e-14,1.2938266674992764e-16,False
2023-01-28,209.18866789999998,215.92528937999998,219.74710917,0.0,10.630431269999999,6.736621479999997,0.03220356794480069,209.11667789999998,-0.07198999999999955,-0.0003441391004717974,False
2023-01-29,189.45453038,195.95577013,199.38872433999998,0.0,10.27028396,6.501239749999996,0.03431556762965805,189.11844037999998,-0.3360900000000129,-0.0017739876651452862,False
2023-01-30,215.04961963,221.36780445,225.56013295,0.0,10.611733319999999,6.318184819999999,0.029380125530427098,214.94839962999998,-0.10122000000001208,-0.0004706820694412966,False
2023-01-31,217.74472161,224.50191282,228.27160640999998,0.0,10.6269148,6.757191210000002,0.031032629218460357,217.64469160999997,-0.10003000000003226,-0.00045939115887821524,False
2023-02-01,217.26141812999998,223.95496167,227.76219189,0.0,10.619973759999999,6.693543540000007,0.030808707766028093,217.14221813,-0.11919999999997799,-0.0005486478042256623,False
2023-02-02,216.17528405000002,223.33909864999998,226.70193379999998,0.0,10.62257975,7.1638145999999665,0.03313891609525083,216.07935404999998,-0.09593000000003826,-0.0004437602588177946,False
2023-02-03,218.2814857,225.41442354,228.79294285999998,0.0,10.60860716,7.132937840000011,0.032677704282273956,218.1843357,-0.09714999999999918,-0.0004450675222795553,False
2023-02-04,209.18632940999998,216.25068779,219.5165791,0.0,10.53558969,7.064358380000016,0.03377065030934239,208.98098941,-0.20533999999997832,-0.0009816129026171544,False
2023-02-05,189.28770105,195.58734321999998,198.84523991999998,0.0,10.07822887,6.29964216999997,0.033280779126457515,188.76701104999998,-0.5206900000000303,-0.002750786221776189,False
2023-02-06,217.41976391999998,223.77890208,227.80333432999998,0.0,10.38984041,6.359138160000015,0.02924820653535376,217.41349391999998,-0.006270000000000664,-2.883822467173556e-05,False
2023-02-07,219.37586266,223.14237418,226.97980085999998,0.0032798799999999998,7.64360808,3.7665115199999946,0.017169215766629387,219.33947265999998,-0.03639000000001147,-0.00016587968958285335,False
2023-02-08,220.71338981999997,227.22964674,231.07102417,0.0,10.38523435,6.516256920000018,0.029523613974277996,220.68578982,-0.02759999999997831,-0.0001250490512718197,False
2023-02-09,222.95366391999997,228.70532572,233.25786176,0.0,10.30419784,5.751661800000022,0.025797565731253594,222.95366392,2.842170943040401e-14,1.274780998468016e-16,False
2023-02-10,223.06055740999997,222.93741732,226.63807339,0.00407116,3.58158714,-0.12314008999996418,-0.0005520478000672462,223.06055740999997,0.0,0.0,False
2023-02-11,214.95815775,211.81758958,215.74886544,0.0024741999999999998,0.83448189,-3.1405681699999946,-0.01461013716749717,214.91685775,-0.041300000000006776,-0.00019213041473885062,False
2023-02-12,196.20678596,192.74983675,196.24272788,0.0062501499999999995,0.061922069999999996,-3.4569492100000048,-0.01761890748623119,196.18705595999998,-0.019730000000009795,-0.00010055717442939044,False
2023-02-13,218.53937398,215.59854398,219.17775053999998,0.00489353,0.64327009,-2.9408300000000054,-0.01345675127754846,218.53937398,0.0,0.0,False
2023-02-14,222.26004318,221.14633978999998,224.89602718999998,0.01001875,2.9575027599999997,-1.113703390000012,-0.005010812443233739,221.94854317999997,-0.31150000000002365,-0.0014015114707223897,False
2023-02-15,223.00673639,225.6401343,229.67980631999998,0.0006374,6.70094733,2.6333979100000136,0.011808602523085486,222.97949638999998,-0.027240000000006148,-0.00012214877649421372,False
2023-02-16,221.90919416,223.02861597999998,227.32427840999998,0.00140771,5.72334196,1.1194218199999852,0.00504450401091928,221.60234415999997,-0.3068500000000256,-0.0013827728101197193,False
2023-02-17,220.82406771,226.17891353,229.84495407,0.0,9.020886359999999,5.35484581999998,0.024249375874337658,220.82406771,0.0,0.0,False
2023-02-18,209.73622374,215.39686883,219.35135058999998,0.0,9.61512685,5.660645089999974,0.02698935352730106,209.73622373999999,-2.842170943040401e-14,-1.355116866490218e-16,False
2023-02-19,189.61219058,188.40694009999999,191.41388166,0.0,3.24300108,-1.2052504800000179,-0.006356397636213723,188.17088058,-1.4413100000000156,-0.00760135725235402,False
2023-02-20,213.10666368999998,216.9922535,221.23384377,0.0,8.12718008,3.8855898100000275,0.01823307513111031,213.10666369,2.842170943040401e-14,1.3336846881404063e-16,False
2023-02-21,215.67107205,218.41024822999998,221.83796582,0.0,6.50869377,2.739176179999987,0.012700712033206527,215.32927205,-0.3418000000000063,-0.0015848207956269875,False
2023-02-22,216.20356927,221.88342228,225.81680948,0.0,9.62144021,5.679853009999988,0.02627085680952314,216.19536927,-0.008200000000016416,-3.792721844372545e-05,False
2023-02-23,218.66944834999998,220.40126995,224.83648764999998,0.00579445,6.3329137499999995,1.7318216000000177,0.007919815104797277,218.50936835,-0.16007999999999356,-0.0007320638580647591,False
2023-02-24,220.10290218999998,225.74854919999999,229.66441275999998,0.0,9.56839057,5.645647010000005,0.02565003438767245,220.09602218999999,-0.006879999999995334,-3.12581066925519e-05,False
2023-02-25,210.86257902999998,211.363351,214.83717955,0.0,3.9746005199999996,0.5007719700000166,0.00237487358972675,210.86257903,2.842170943040401e-14,1.3478782988023863e-16,False
2023-02-26,192.36407591999998,198.30059996,202.27092516,0.0,10.27504924,5.936524040000023,0.030860876759904454,191.99587592,-0.3681999999999732,-0.0019140788020789265,False
2023-02-27,218.98004846,224.97109826,229.38938578,0.0,10.43554732,5.991049799999985,0.027358884255130392,218.95383846,-0.026210000000020273,-0.00011969126952133231,False
2023-02-28,222.97246213999998,223.56468347999999,228.00952325999998,0.0,5.08677112,0.5922213400000089,0.002656029064379102,222.92275213999997,-0.049710000000004584,-0.00022294232894460602,False
2023-03-01,222.38257611,224.08003510999998,228.00094006999998,0.0,5.6487339599999995,1.6974589999999807,0.007633057542963008,222.35220611,-0.030370000000004893,-0.00013656645467126247,False
2023-03-02,224.91526516999997,224.76370265,228.92280044,0.00128056,4.48801583,-0.1515625199999704,-0.0006738649770410797,224.43606517,-0.4791999999999632,-0.0021305801526533322,False
2023-03-03,225.69930666,222.13358685999998,225.69191451999998,0.01332648,0.024624339999999998,-3.5657198000000108,-0.015798541221801424,225.68061665999997,-0.018690000000020746,-8.280929293316752e-05,False
2023-03-04,216.07542011,215.73877685999997,219.25442417,0.007488119999999999,3.33560218,-0.33664325000003714,-0.001557989565998105,215.92631011,-0.1491100000000074,-0.0006900831197000485,False
2023-03-05,192.93730266999998,193.0608834,196.13604277,0.0050160199999999995,3.2447861199999997,0.12358073000001468,0.0006405227412730404,192.89627267,-0.04102999999997792,-0.00021265975750762745,False
2023-03-06,219.06871005,215.60755050999998,218.99834758,0.01134922,0.00725675,-3.4611595400000112,-0.01579942447832938,219.00244005,-0.06627000000000294,-0.000302507829552096,False
2023-03-07,220.11557805,216.66409313,220.10055309999998,0.01579583,0.029470879999999998,-3.451484920000013,-0.015680330081935392,220.08687805,-0.028700000000014825,-0.00013038604652277505,False
2023-03-08,218.46977368,215.36996409,218.35036028,0.023491869999999998,0.03993847,-3.0998095900000067,-0.014188734385473396,218.33391367999997,-0.1358600000000365,-0.0006218709238882409,False
2023-03-09,214.76258016,211.60706299999998,214.78823118,0.00811129,0.03484231,-3.1555171600000165,-0.01469304921578577,214.76150016,-0.0010800000000017462,-5.0288090187645204e-06,False
2023-03-10,215.91517473,212.50128184,215.61112312,0.22003354,0.02292193,-3.4138928899999996,-0.015811268912752623,215.80823473,-0.10693999999998027,-0.0004952870965818303,False
