status,call_id,target,metric_id,entity,start_date,end_date
PLANNED_HTTP,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b004,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07
PLANNED_HTTP,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b005,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07
PLANNED_HTTP,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b006,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07
PLANNED_HTTP,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b007,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07
PLANNED_HTTP,disponibilidad_declarada_recurso__2026-06-01__2026-06-07__b008,disponibilidad_declarada_recurso,DispoDeclarada,Recurso,2026-06-01,2026-06-07
PLANNED_HTTP,volumen_util_energia_sin__2026-06-01__2026-06-07__b001,volumen_util_energia_sin,VoluUtilDiarEner,Sistema,2026-06-01,2026-06-07
PLANNED_HTTP,volumen_util_energia_embalse__2026-06-01__2026-06-07__b001,volumen_util_energia_embalse,VoluUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,volumen_util_energia_embalse__2026-06-01__2026-06-07__b002,volumen_util_energia_embalse,VoluUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,volumen_util_energia_embalse__2026-06-01__2026-06-07__b003,volumen_util_energia_embalse,VoluUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,capacidad_util_energia_sin__2026-06-01__2026-06-07__b001,capacidad_util_energia_sin,CapaUtilDiarEner,Sistema,2026-06-01,2026-06-07
PLANNED_HTTP,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b001,capacidad_util_energia_embalse,CapaUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b002,capacidad_util_energia_embalse,CapaUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,capacidad_util_energia_embalse__2026-06-01__2026-06-07__b003,capacidad_util_energia_embalse,CapaUtilDiarEner,Embalse,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_sin__2026-06-01__2026-06-07__b001,aportes_energia_sin,AporEner,Sistema,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_rio__2026-06-01__2026-06-07__b001,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_rio__2026-06-01__2026-06-07__b002,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_rio__2026-06-01__2026-06-07__b003,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_rio__2026-06-01__2026-06-07__b004,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07
PLANNED_HTTP,aportes_energia_rio__2026-06-01__2026-06-07__b005,aportes_energia_rio,AporEner,Rio,2026-06-01,2026-06-07
PLANNED_HTTP,importaciones_energia_sistema__2026-06-01__2026-06-07__b001,importaciones_energia_sistema,ImpoEner,Sistema,2026-06-01,2026-06-07
PLANNED_HTTP,exportaciones_energia_sistema__2026-06-01__2026-06-07__b001,exportaciones_energia_sistema,ExpoEner,Sistema,2026-06-01,2026-06-07
